AFK,Nebraska City Municipal,Nebraska City,NE,USA,40.60688889,-95.86569444
AMW,Ames Municipal,Ames,IA,USA,41.99206972,-93.62180139
ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
BCB,Virginia Tech,Blacksburg,VA,USA,37.20782361,-80.40832778
BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833
BGR,Bangor International,Bangor,ME,USA,44.80744444,-68.82813889
BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972
BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222
BOI,Boise Air Terminal,Boise,ID,USA,43.56444444,-116.2227778
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917
BTV,Burlington International,Burlington,VT,USA,44.47300361,-73.1503125
CHS,Charleston AFB/International,Charleston,SC,USA,32.89864639,-80.04050583
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667
CLT,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583
CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278
COD,Yellowstone Regional,Cody,WY,USA,44.52019417,-109.0237961
DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
FCA,Glacier Park Intl,Kalispell,MT,USA,48.31140472,-114.2550694
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275
HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
ICT,Wichita Mid-Continent,Wichita,KS,USA,37.64995889,-97.43304583
IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744
LRU,Las Cruces International,Las Cruces,NM,USA,32.28941667,-106.9219722
MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556
MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
MEM,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667
MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333
MOT,Minot International,Minot,ND,USA,48.25937778,-101.2803339
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
MSY,New Orleans International,New Orleans,LA,USA,29.99338889,-90.25802778
ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556
PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083
PSM,Pease International Tradeport,Portsmouth,NH,USA,43.07795889,-70.82327333
RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667
SAN,San Diego International-Lindbergh,San Diego,CA,USA,32.73355611,-117.1896567
SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778
SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433
SGF,Springfield-Branson Regional,Springfield,MO,USA,37.24432611,-93.38685806
SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731
SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669
STL,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972
SXL,Summersville,Summersville,WV,USA,38.23163889,-80.87080556
TPA,Tampa International,Tampa,FL,USA,27.97547222,-82.53325
TUL,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167
Y03,Springfield Municipal,Springfield,SD,USA,42.87999833,-97.90117972
JAN,Jackson International,Jackson,MS,USA,32.31116667,-90.07588889
LEX,Blue Grass,Lexington,KY,USA,38.03697222,-84.60538889
LIT,Adams,Little Rock,AR,USA,34.72939611,-92.22424556
