deg,iata,name,city,state,country,lat,lon
🌦   +75°F,AFK,Nebraska City Municipal,Nebraska City,NE,USA,40.60688889,-95.86569444
⛅️  +82°F,AMW,Ames Municipal,Ames,IA,USA,41.99206972,-93.62180139
⛅️  +53°F,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
🌦   +75°F,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
☁️   +81°F,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
☀️   +76°F,BCB,Virginia Tech,Blacksburg,VA,USA,37.20782361,-80.40832778
⛅️  +78°F,BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833
⛅️  +72°F,BGR,Bangor International,Bangor,ME,USA,44.80744444,-68.82813889
🌫  +75°F,BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972
⛅️  +83°F,BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222
☀️   +70°F,BOI,Boise Air Terminal,Boise,ID,USA,43.56444444,-116.2227778
⛅️  +78°F,BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917
⛅️  +70°F,BTV,Burlington International,Burlington,VT,USA,44.47300361,-73.1503125
☀️   +88°F,CHS,Charleston AFB/International,Charleston,SC,USA,32.89864639,-80.04050583
⛅️  +78°F,CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667
☀️   +85°F,CLT,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583
☀️   +79°F,CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278
☀️   +67°F,COD,Yellowstone Regional,Cody,WY,USA,44.52019417,-109.0237961
☀️   +82°F,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
⛅️  +73°F,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
☀️   +84°F,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
☁️   +76°F,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
☀️   +54°F,FCA,Glacier Park Intl,Kalispell,MT,USA,48.31140472,-114.2550694
⛅️  +87°F,FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275
⛅️  +73°F,HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072
⛅️  +85°F,IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
⛅️  +84°F,ICT,Wichita Mid-Continent,Wichita,KS,USA,37.64995889,-97.43304583
⛅️  +83°F,IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417
⛅️  +78°F,JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
⛅️  +86°F,LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333
☀️   +68°F,LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744
☀️   +80°F,LRU,Las Cruces International,Las Cruces,NM,USA,32.28941667,-106.9219722
☁️   +82°F,MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556
☀️   +84°F,MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
☀️   +77°F,MEM,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667
⛅️  +81°F,MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333
☁️   +60°F,MOT,Minot International,Minot,ND,USA,48.25937778,-101.2803339
⛅️  +76°F,MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
☁️   +84°F,MSY,New Orleans International,New Orleans,LA,USA,29.99338889,-90.25802778
⛅️  +81°F,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
☀️   +56°F,PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
☀️   +82°F,PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
⛅️  +90°F,PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556
⛅️  +76°F,PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083
⛅️  +76°F,PSM,Pease International Tradeport,Portsmouth,NH,USA,43.07795889,-70.82327333
⛅️  +82°F,RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
☀️   +82°F,RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667
⛅️  +69°F,SAN,San Diego International-Lindbergh,San Diego,CA,USA,32.73355611,-117.1896567
